model_name,model_family,feature_set,split,row_count,log_loss,macro_f1,accuracy,best_iteration,parameters,precision_away_win,recall_away_win,f1_away_win,support_away_win,precision_draw,recall_draw,f1_draw,support_draw,precision_home_win,recall_home_win,f1_home_win,support_home_win,confusion_away_win_pred_away_win,confusion_away_win_pred_draw,confusion_away_win_pred_home_win,confusion_draw_pred_away_win,confusion_draw_pred_draw,confusion_draw_pred_home_win,confusion_home_win_pred_away_win,confusion_home_win_pred_draw,confusion_home_win_pred_home_win
majority_baseline,majority,baseline,validation,380,1.0550705467190729,0.2102102102102102,0.4605263157894737,,"{""majority_class"":2,""prediction_rule"":""most_frequent_training_label"",""probability_rule"":""training_class_prior"",""strategy"":""prior"",""training_class_probabilities"":{""0"":0.3072874493927126,""1"":0.2417004048582996,""2"":0.45101214574898785}}",0.0,0.0,0.0,123,0.0,0.0,0.0,82,0.4605263157894737,1.0,0.6306306306306306,175,0,0,123,0,0,82,0,0,175
majority_baseline,majority,baseline,test,380,1.082215662945034,0.1931464174454828,0.4078947368421052,,"{""majority_class"":2,""prediction_rule"":""most_frequent_training_label"",""probability_rule"":""training_class_prior"",""strategy"":""prior"",""training_class_probabilities"":{""0"":0.3072874493927126,""1"":0.2417004048582996,""2"":0.45101214574898785}}",0.0,0.0,0.0,132,0.0,0.0,0.0,93,0.4078947368421052,1.0,0.5794392523364486,155,0,0,132,0,0,93,0,0,155
logistic_regression,logistic_regression,baseline,validation,380,0.9378213543872288,0.4244781514154208,0.5789473684210527,,"{""C"":1.0,""imputation"":""training_median"",""l1_ratio"":0.0,""max_iter"":2000,""random_state"":42,""scaling"":""standard"",""solver"":""lbfgs""}",0.527027027027027,0.6341463414634146,0.5756457564575646,123,0.0,0.0,0.0,82,0.6120689655172413,0.8114285714285714,0.6977886977886978,175,78,0,45,37,0,45,33,0,142
logistic_regression,logistic_regression,baseline,test,380,1.0337426549557,0.3663564941215802,0.4894736842105263,,"{""C"":1.0,""imputation"":""training_median"",""l1_ratio"":0.0,""max_iter"":2000,""random_state"":42,""scaling"":""standard"",""solver"":""lbfgs""}",0.4859154929577465,0.5227272727272727,0.5036496350364964,132,0.0,0.0,0.0,93,0.4915966386554621,0.7548387096774194,0.5954198473282443,155,69,0,63,35,0,58,38,0,117
model_a,xgboost,baseline,validation,380,0.9334637503536388,0.4273316265700528,0.5842105263157895,121.0,"{""colsample_bytree"":0.75,""early_stopping_rounds"":40,""eval_metric"":""mlogloss"",""learning_rate"":0.05,""max_depth"":3,""min_child_weight"":3,""n_estimators"":500,""n_jobs"":1,""num_class"":3,""objective"":""multi:softprob"",""random_state"":42,""reg_lambda"":2.0,""subsample"":0.75,""tree_method"":""hist""}",0.5597014925373134,0.6097560975609756,0.5836575875486382,123,0.0,0.0,0.0,82,0.5975609756097561,0.84,0.6983372921615202,175,75,0,48,31,0,51,28,0,147
model_a,xgboost,baseline,test,380,1.0394918517570615,0.3484263484263484,0.4710526315789474,121.0,"{""colsample_bytree"":0.75,""early_stopping_rounds"":40,""eval_metric"":""mlogloss"",""learning_rate"":0.05,""max_depth"":3,""min_child_weight"":3,""n_estimators"":500,""n_jobs"":1,""num_class"":3,""objective"":""multi:softprob"",""random_state"":42,""reg_lambda"":2.0,""subsample"":0.75,""tree_method"":""hist""}",0.4645669291338583,0.4469696969696969,0.4555984555984556,132,0.0,0.0,0.0,93,0.4761904761904761,0.7741935483870968,0.5896805896805897,155,59,1,72,33,0,60,35,0,120
model_a_matched,xgboost,baseline_matched,validation,380,0.930105699773552,0.4269531900716308,0.5789473684210527,240.0,"{""colsample_bytree"":0.9,""early_stopping_rounds"":40,""eval_metric"":""mlogloss"",""learning_rate"":0.03,""max_depth"":2,""min_child_weight"":3,""n_estimators"":500,""n_jobs"":1,""num_class"":3,""objective"":""multi:softprob"",""random_state"":42,""reg_lambda"":2.0,""subsample"":0.9,""tree_method"":""hist""}",0.5579710144927537,0.6260162601626016,0.5900383141762452,123,0.0,0.0,0.0,82,0.5983263598326359,0.8171428571428572,0.6908212560386473,175,77,1,45,31,0,51,30,2,143
model_a_matched,xgboost,baseline_matched,test,380,1.0476214341380652,0.3305959553321309,0.45,240.0,"{""colsample_bytree"":0.9,""early_stopping_rounds"":40,""eval_metric"":""mlogloss"",""learning_rate"":0.03,""max_depth"":2,""min_child_weight"":3,""n_estimators"":500,""n_jobs"":1,""num_class"":3,""objective"":""multi:softprob"",""random_state"":42,""reg_lambda"":2.0,""subsample"":0.9,""tree_method"":""hist""}",0.4380165289256198,0.4015151515151515,0.4189723320158103,132,0.0,0.0,0.0,93,0.4591439688715953,0.7612903225806451,0.5728155339805825,155,53,1,78,32,0,61,36,1,118
model_b,xgboost,possession,validation,380,0.9287486290975155,0.47005478581538435,0.5789473684210527,267.0,"{""colsample_bytree"":0.9,""early_stopping_rounds"":40,""eval_metric"":""mlogloss"",""learning_rate"":0.03,""max_depth"":2,""min_child_weight"":3,""n_estimators"":500,""n_jobs"":1,""num_class"":3,""objective"":""multi:softprob"",""random_state"":42,""reg_lambda"":2.0,""subsample"":0.9,""tree_method"":""hist""}",0.5588235294117647,0.6178861788617886,0.5868725868725869,123,0.3888888888888889,0.08536585365853659,0.14,82,0.6061946902654868,0.7828571428571428,0.683291770573566,175,76,6,41,27,7,48,33,5,137
model_b,xgboost,possession,test,380,1.031918963256467,0.3664478423423653,0.4710526315789474,267.0,"{""colsample_bytree"":0.9,""early_stopping_rounds"":40,""eval_metric"":""mlogloss"",""learning_rate"":0.03,""max_depth"":2,""min_child_weight"":3,""n_estimators"":500,""n_jobs"":1,""num_class"":3,""objective"":""multi:softprob"",""random_state"":42,""reg_lambda"":2.0,""subsample"":0.9,""tree_method"":""hist""}",0.4603174603174603,0.4393939393939394,0.4496124031007752,132,0.3,0.03225806451612903,0.05825242718446602,93,0.48360655737704916,0.7612903225806451,0.5914786967418546,155,58,4,70,34,3,56,34,3,118
