scope,source_season,target_season,team,expected_teams,available_team_averages,coverage,threshold,meets_threshold,model_b_period_start
season,1718,1819,,20,20,1.0,0.95,True,1819
team,1718,1819,AFC Bournemouth,1,1,1.0,0.95,True,
team,1718,1819,Arsenal,1,1,1.0,0.95,True,
team,1718,1819,Brighton & Hove Albion,1,1,1.0,0.95,True,
team,1718,1819,Burnley,1,1,1.0,0.95,True,
team,1718,1819,Chelsea,1,1,1.0,0.95,True,
team,1718,1819,Crystal Palace,1,1,1.0,0.95,True,
team,1718,1819,Everton,1,1,1.0,0.95,True,
team,1718,1819,Huddersfield Town,1,1,1.0,0.95,True,
team,1718,1819,Leicester City,1,1,1.0,0.95,True,
team,1718,1819,Liverpool,1,1,1.0,0.95,True,
team,1718,1819,Manchester City,1,1,1.0,0.95,True,
team,1718,1819,Manchester United,1,1,1.0,0.95,True,
team,1718,1819,Newcastle United,1,1,1.0,0.95,True,
team,1718,1819,Southampton,1,1,1.0,0.95,True,
team,1718,1819,Stoke City,1,1,1.0,0.95,True,
team,1718,1819,Swansea City,1,1,1.0,0.95,True,
team,1718,1819,Tottenham Hotspur,1,1,1.0,0.95,True,
team,1718,1819,Watford,1,1,1.0,0.95,True,
team,1718,1819,West Bromwich Albion,1,1,1.0,0.95,True,
team,1718,1819,West Ham United,1,1,1.0,0.95,True,
season,1819,1920,,20,20,1.0,0.95,True,1819
team,1819,1920,AFC Bournemouth,1,1,1.0,0.95,True,
team,1819,1920,Arsenal,1,1,1.0,0.95,True,
team,1819,1920,Brighton & Hove Albion,1,1,1.0,0.95,True,
team,1819,1920,Burnley,1,1,1.0,0.95,True,
team,1819,1920,Cardiff City,1,1,1.0,0.95,True,
team,1819,1920,Chelsea,1,1,1.0,0.95,True,
team,1819,1920,Crystal Palace,1,1,1.0,0.95,True,
team,1819,1920,Everton,1,1,1.0,0.95,True,
team,1819,1920,Fulham,1,1,1.0,0.95,True,
team,1819,1920,Huddersfield Town,1,1,1.0,0.95,True,
team,1819,1920,Leicester City,1,1,1.0,0.95,True,
team,1819,1920,Liverpool,1,1,1.0,0.95,True,
team,1819,1920,Manchester City,1,1,1.0,0.95,True,
team,1819,1920,Manchester United,1,1,1.0,0.95,True,
team,1819,1920,Newcastle United,1,1,1.0,0.95,True,
team,1819,1920,Southampton,1,1,1.0,0.95,True,
team,1819,1920,Tottenham Hotspur,1,1,1.0,0.95,True,
team,1819,1920,Watford,1,1,1.0,0.95,True,
team,1819,1920,West Ham United,1,1,1.0,0.95,True,
team,1819,1920,Wolverhampton Wanderers,1,1,1.0,0.95,True,
season,1920,2021,,20,20,1.0,0.95,True,1819
team,1920,2021,AFC Bournemouth,1,1,1.0,0.95,True,
team,1920,2021,Arsenal,1,1,1.0,0.95,True,
team,1920,2021,Aston Villa,1,1,1.0,0.95,True,
team,1920,2021,Brighton & Hove Albion,1,1,1.0,0.95,True,
team,1920,2021,Burnley,1,1,1.0,0.95,True,
team,1920,2021,Chelsea,1,1,1.0,0.95,True,
team,1920,2021,Crystal Palace,1,1,1.0,0.95,True,
team,1920,2021,Everton,1,1,1.0,0.95,True,
team,1920,2021,Leicester City,1,1,1.0,0.95,True,
team,1920,2021,Liverpool,1,1,1.0,0.95,True,
team,1920,2021,Manchester City,1,1,1.0,0.95,True,
team,1920,2021,Manchester United,1,1,1.0,0.95,True,
team,1920,2021,Newcastle United,1,1,1.0,0.95,True,
team,1920,2021,Norwich City,1,1,1.0,0.95,True,
team,1920,2021,Sheffield United,1,1,1.0,0.95,True,
team,1920,2021,Southampton,1,1,1.0,0.95,True,
team,1920,2021,Tottenham Hotspur,1,1,1.0,0.95,True,
team,1920,2021,Watford,1,1,1.0,0.95,True,
team,1920,2021,West Ham United,1,1,1.0,0.95,True,
team,1920,2021,Wolverhampton Wanderers,1,1,1.0,0.95,True,
season,2021,2122,,20,20,1.0,0.95,True,1819
team,2021,2122,Arsenal,1,1,1.0,0.95,True,
team,2021,2122,Aston Villa,1,1,1.0,0.95,True,
team,2021,2122,Brighton & Hove Albion,1,1,1.0,0.95,True,
team,2021,2122,Burnley,1,1,1.0,0.95,True,
team,2021,2122,Chelsea,1,1,1.0,0.95,True,
team,2021,2122,Crystal Palace,1,1,1.0,0.95,True,
team,2021,2122,Everton,1,1,1.0,0.95,True,
team,2021,2122,Fulham,1,1,1.0,0.95,True,
team,2021,2122,Leeds United,1,1,1.0,0.95,True,
team,2021,2122,Leicester City,1,1,1.0,0.95,True,
team,2021,2122,Liverpool,1,1,1.0,0.95,True,
team,2021,2122,Manchester City,1,1,1.0,0.95,True,
team,2021,2122,Manchester United,1,1,1.0,0.95,True,
